Customer Name,Sales,Profit,Quantity,Orders,Avg_Discount,Profit Margin
Aaron Bergman,886.156,129.3465,13,3,0.06666666666666667,14.596357751908243
Aaron Hawkins,1744.7,365.2152,54,7,0.09090909090909091,20.932836590817907
Aaron Smayling,3050.692,-253.57459999999998,48,7,0.355,-8.312035433272188
Adam Bellavance,7755.62,2054.5885,56,8,0.044444444444444446,26.491608665715955
Adam Hart,3250.337,281.189,75,10,0.135,8.651072181130758
Adam Shillingsburg,3255.31,64.53739999999998,81,9,0.18,1.9825270097164318
Adrian Barton,14473.570999999998,5444.8055,73,10,0.24,37.618950430408646
Adrian Hane,1735.5140000000001,-2.3145999999999773,65,7,0.23750000000000002,-0.13336682965392255
Adrian Shami,58.82,21.8496,9,2,0.06666666666666667,37.146548792927575
Aimee Bixby,966.71,313.6597,37,5,0.13333333333333333,32.44610069203794
Alan Barnes,1113.838,220.813,48,8,0.13571428571428573,19.824516671185577
Alan Dominguez,6106.88,1869.9294,40,8,0.05833333333333333,30.62004493292811
Alan Haines,1587.452,-378.5509,28,4,0.35,-23.846447010681267
Alan Hwang,4805.344,1308.5546,53,9,0.09230769230769233,27.231236723114932
Alan Schoenberger,4260.784,719.7751000000001,41,5,0.06153846153846154,16.89302015779256
Alan Shonely,584.6080000000001,33.715799999999994,39,7,0.2692307692307692,5.767249165252612
Alejandro Ballentine,914.5319999999999,264.5675,39,9,0.1,28.92927748837657
Alejandro Grove,2582.898,732.7399,58,5,0.014285714285714287,28.36890577947716
Alejandro Savely,3214.236,354.62760000000003,39,6,0.225,11.033029310853342
Aleksandra Gannaway,367.548,59.288399999999996,16,4,0.08,16.13079108034869
Alex Avila,5563.56,-362.8825,30,5,0.09090909090909091,-6.5224874001538575
Alex Grayson,660.972,-5.137100000000006,47,5,0.23333333333333334,-0.7772038755045609
Alex Russell,1055.694,-221.0544,18,4,0.26,-20.939249441599554
Alice McCarthy,814.012,194.9878,48,5,0.125,23.95392205520312
Allen Armold,1056.39,277.3824,41,9,0.08000000000000002,26.257575327293896
Allen Goldenen,200.945,69.2784,33,5,0.22499999999999998,34.47629948493369
Allen Rosenblatt,2236.128,-98.7646,29,5,0.09999999999999999,-4.416768628629488
Alyssa Crouse,925.8,-62.1342,17,3,0.32,-6.711406351263773
Alyssa Tate,1171.814,100.87680000000002,28,6,0.19999999999999998,8.608601706414158
Amy Cox,5527.846,1366.0098,43,7,0.18888888888888888,24.71143009410899
Amy Hunt,2495.3916,-196.12009999999998,35,5,0.14,-7.859291503586049
Andrew Allen,1790.5120000000002,435.8274,36,4,0.016666666666666666,24.340937117427863
Andrew Gjertsen,2356.855,295.6668,93,8,0.20476190476190476,12.544972007187546
Andrew Roberts,264.86400000000003,43.6695,33,5,0.21428571428571427,16.487518122508153
Andy Gerbode,1455.038,-152.7613,33,4,0.15555555555555556,-10.498784224192082
Andy Reiter,6608.448,2884.6208,33,6,0.06666666666666668,43.65050311359036
Andy Yotov,497.014,103.3499,34,4,0.1,20.79416273988258
Anemone Ratner,88.15,32.633,6,1,0.0,37.01985252410664
Angele Hood,738.504,83.96300000000001,17,4,0.12000000000000002,11.369335846522159
Ann Blume,1515.862,-274.9604,38,4,0.375,-18.138880716054626
Ann Chong,2537.6859999999997,298.8273,59,5,0.1111111111111111,11.775582164223627
Ann Steele,833.398,136.49190000000002,34,7,0.18333333333333335,16.377757086050124
Anna Andreadi,5086.9349999999995,857.8033,64,6,0.06388888888888888,16.862871257446777
Anna Chung,657.316,-28.700399999999995,16,5,0.18333333333333335,-4.366301748321963
Anna Gayman,3489.0396000000005,-246.42570000000003,54,7,0.16133333333333333,-7.062851909161479
Anna HÃ¤berlin,7888.294,1298.0166,102,12,0.21739130434782608,16.45497239327033
Anne McFarland,5664.022,1085.7326,81,8,0.06363636363636363,19.168933312759027
Anne Pryor,1638.554,285.7888,85,8,0.1631578947368421,17.441524661378264
Annie Thurman,3831.864,974.107,60,10,0.08750000000000001,25.421231024900674
Annie Zypern,1622.0179999999998,154.9503,40,6,0.125,9.552933444635018
Anthony Garverick,170.584,-8.431000000000001,20,4,0.45999999999999996,-4.942433053510294
Anthony Jacobs,4867.344,150.71300000000005,62,7,0.08666666666666667,3.0964115131373506
Anthony Johnson,4501.391,1158.7064,88,7,0.08333333333333333,25.741074259045703
Anthony O'Donnell,161.28,12.096,2,1,0.2,7.5
Anthony Rawles,4523.336,494.83519999999993,54,8,0.07692307692307693,10.939607404800348
Anthony Witt,649.376,65.77250000000001,24,4,0.2,10.128569580643573
Arianne Irving,4375.786,867.7271000000001,72,10,0.07222222222222223,19.830199648703115
Art Ferguson,2052.908,317.9712,51,7,0.2,15.488818787787862
Art Foster,861.565,-163.1175,37,4,0.2571428571428572,-18.93269805528312
Arthur Gainer,4510.797,343.6824,92,10,0.16666666666666666,7.619105891929963
Arthur Prichep,3323.556,579.3113,102,10,0.09354838709677421,17.43046604299732
Arthur Wiediger,2852.968,-104.5486,68,7,0.30625,-3.6645556487139004
Ashley Jarboe,1839.24,521.1351999999999,40,7,0.04,28.334268502207433
Astrea Jones,629.2479999999999,60.4265,22,3,0.04,9.602970529902361
Barbara Fisher,599.798,227.4384,38,7,0.14615384615384613,37.91916611926015
Barry Blumstein,744.3399999999999,11.583900000000007,26,5,0.2,1.5562646102587538
Barry Franz,1333.88,-291.38109999999995,26,4,0.18,-21.84462620325666
Barry FranzÃ¶sisch,2888.506,302.02,78,8,0.2571428571428572,10.455924273655654
Barry Gonzalez,2798.948,-711.4274,35,8,0.19166666666666665,-25.4176712107549
Barry Pond,983.42,209.78300000000002,30,5,0.14285714285714285,21.331984299688845
Barry Weirich,385.516,-58.28659999999999,8,3,0.13333333333333333,-15.119113084800627
Bart Folk,272.95,110.9272,29,3,0.0,40.6401172375893
Bart Pistole,2442.044,433.9751,70,12,0.165,17.770977918497785
Bart Watters,4750.358,921.2574,74,8,0.1411764705882353,19.39343097930724
Becky Castell,2933.676,251.5974,60,9,0.1111111111111111,8.576182236893235
Becky Martin,11789.63,-1659.9580999999998,64,4,0.16875,-14.079815057809277
Becky Pak,1697.8609999999999,647.3847000000001,32,6,0.0818181818181818,38.12942873415434
Ben Ferrer,5907.972,1538.2127,102,11,0.12222222222222222,26.036221904910857
Ben Peterman,3675.861,363.5991,69,9,0.19444444444444445,9.891535615737375
Ben Wallace,1738.406,246.9973,49,6,0.15,14.208263202036807
Benjamin Farhat,1585.162,523.2133,48,4,0.05,33.00692926022703
Benjamin Patterson,1181.49,-197.2695,14,5,0.06666666666666667,-16.69667115252774
Benjamin Venier,1523.2730000000001,315.2214,49,5,0.09285714285714285,20.693690494087402
