Customer Name,Sales,Profit,Orders,Performance
Aaron Bergman,886.156,129.3465,3,Low Sales - Low Profit
Aaron Hawkins,1744.7,365.2152,7,Low Sales - High Profit
Aaron Smayling,3050.692,-253.57459999999998,7,High Sales - Low Profit
Adam Bellavance,7755.62,2054.5885,8,High Sales - High Profit
Adam Hart,3250.337,281.189,10,High Sales - High Profit
Adam Shillingsburg,3255.31,64.53739999999998,9,High Sales - Low Profit
Adrian Barton,14473.570999999998,5444.8055,10,High Sales - High Profit
Adrian Hane,1735.5140000000001,-2.3145999999999773,7,Low Sales - Low Profit
Adrian Shami,58.82,21.8496,2,Low Sales - Low Profit
Aimee Bixby,966.71,313.6597,5,Low Sales - High Profit
Alan Barnes,1113.838,220.813,8,Low Sales - Low Profit
Alan Dominguez,6106.88,1869.9294,8,High Sales - High Profit
Alan Haines,1587.452,-378.5509,4,Low Sales - Low Profit
Alan Hwang,4805.344,1308.5546,9,High Sales - High Profit
Alan Schoenberger,4260.784,719.7751000000001,5,High Sales - High Profit
Alan Shonely,584.6080000000001,33.715799999999994,7,Low Sales - Low Profit
Alejandro Ballentine,914.5319999999999,264.5675,9,Low Sales - High Profit
Alejandro Grove,2582.898,732.7399,5,High Sales - High Profit
Alejandro Savely,3214.236,354.62760000000003,6,High Sales - High Profit
Aleksandra Gannaway,367.548,59.288399999999996,4,Low Sales - Low Profit
Alex Avila,5563.56,-362.8825,5,High Sales - Low Profit
Alex Grayson,660.972,-5.137100000000006,5,Low Sales - Low Profit
Alex Russell,1055.694,-221.0544,4,Low Sales - Low Profit
Alice McCarthy,814.012,194.9878,5,Low Sales - Low Profit
Allen Armold,1056.39,277.3824,9,Low Sales - High Profit
Allen Goldenen,200.945,69.2784,5,Low Sales - Low Profit
Allen Rosenblatt,2236.128,-98.7646,5,Low Sales - Low Profit
Alyssa Crouse,925.8,-62.1342,3,Low Sales - Low Profit
Alyssa Tate,1171.814,100.87680000000002,6,Low Sales - Low Profit
Amy Cox,5527.846,1366.0098,7,High Sales - High Profit
Amy Hunt,2495.3916,-196.12009999999998,5,High Sales - Low Profit
Andrew Allen,1790.5120000000002,435.8274,4,Low Sales - High Profit
Andrew Gjertsen,2356.855,295.6668,8,High Sales - High Profit
Andrew Roberts,264.86400000000003,43.6695,5,Low Sales - Low Profit
Andy Gerbode,1455.038,-152.7613,4,Low Sales - Low Profit
Andy Reiter,6608.448,2884.6208,6,High Sales - High Profit
Andy Yotov,497.014,103.3499,4,Low Sales - Low Profit
Anemone Ratner,88.15,32.633,1,Low Sales - Low Profit
Angele Hood,738.504,83.96300000000001,4,Low Sales - Low Profit
Ann Blume,1515.862,-274.9604,4,Low Sales - Low Profit
Ann Chong,2537.6859999999997,298.8273,5,High Sales - High Profit
Ann Steele,833.398,136.49190000000002,7,Low Sales - Low Profit
Anna Andreadi,5086.9349999999995,857.8033,6,High Sales - High Profit
Anna Chung,657.316,-28.700399999999995,5,Low Sales - Low Profit
Anna Gayman,3489.0396000000005,-246.42570000000003,7,High Sales - Low Profit
Anna Häberlin,7888.294,1298.0166,12,High Sales - High Profit
Anne McFarland,5664.022,1085.7326,8,High Sales - High Profit
